story_id,snapshot_ts,snapshot_iso,score,descendants,kids_count,is_dead,is_deleted
46888839,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888834,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888824,1770232581,2026-02-04T19:16:21+00:00,63,43,12,0,0
46888823,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888795,1770232581,2026-02-04T19:16:21+00:00,35,3,1,0,0
46888791,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888780,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888775,1770232581,2026-02-04T19:16:21+00:00,5,1,1,0,0
46888763,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888761,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888759,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46888756,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46888750,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888741,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888739,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888717,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888715,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888711,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888704,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888692,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888687,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888678,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888657,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888637,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46888617,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46888603,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888593,1770232581,2026-02-04T19:16:21+00:00,5,0,0,0,0
46888586,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46888584,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888582,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888553,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888552,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888551,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888532,1770232581,2026-02-04T19:16:21+00:00,42,43,19,0,0
46888520,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888514,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888509,1770232581,2026-02-04T19:16:21+00:00,1,1,2,0,0
46888500,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888498,1770232581,2026-02-04T19:16:21+00:00,82,103,9,0,0
46888476,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888463,1770232581,2026-02-04T19:16:21+00:00,6,3,3,0,0
46888458,1770232581,2026-02-04T19:16:21+00:00,5,0,0,0,0
46888457,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46888454,1770232581,2026-02-04T19:16:21+00:00,67,8,6,0,0
46888441,1770232581,2026-02-04T19:16:21+00:00,33,44,22,0,0
46888438,1770232581,2026-02-04T19:16:21+00:00,125,33,8,0,0
46888423,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888414,1770232581,2026-02-04T19:16:21+00:00,5,1,1,0,0
46888412,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888384,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888365,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888339,1770232581,2026-02-04T19:16:21+00:00,37,36,10,0,0
46888337,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888334,1770232581,2026-02-04T19:16:21+00:00,12,4,1,0,0
46888323,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888318,1770232581,2026-02-04T19:16:21+00:00,11,5,4,0,0
46888317,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888311,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888301,1770232581,2026-02-04T19:16:21+00:00,18,0,0,0,0
46888280,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888267,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888258,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888253,1770232581,2026-02-04T19:16:21+00:00,2,1,2,0,0
46888246,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888243,1770232581,2026-02-04T19:16:21+00:00,1,4,4,0,0
46888229,1770232581,2026-02-04T19:16:21+00:00,3,2,2,0,0
46888228,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888227,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888213,1770232581,2026-02-04T19:16:21+00:00,3,1,1,0,0
46888193,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888192,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888170,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888147,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888142,1770232581,2026-02-04T19:16:21+00:00,40,11,6,0,0
46888128,1770232581,2026-02-04T19:16:21+00:00,5,0,0,0,0
46888113,1770232581,2026-02-04T19:16:21+00:00,1,2,1,0,0
46888100,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46888095,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888088,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888084,1770232581,2026-02-04T19:16:21+00:00,5,1,1,0,0
46888083,1770232581,2026-02-04T19:16:21+00:00,11,2,2,0,0
46888077,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46888076,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46888069,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46888061,1770232581,2026-02-04T19:16:21+00:00,5,0,0,0,0
46888027,1770232581,2026-02-04T19:16:21+00:00,4,1,1,0,0
46888010,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46888004,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887995,1770232581,2026-02-04T19:16:21+00:00,2,2,1,0,0
46887991,1770232581,2026-02-04T19:16:21+00:00,6,0,0,0,0
46887948,1770232581,2026-02-04T19:16:21+00:00,8,1,1,0,0
46887923,1770232581,2026-02-04T19:16:21+00:00,2,2,1,0,0
46887920,1770232581,2026-02-04T19:16:21+00:00,2,2,2,0,0
46887916,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887896,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887893,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46887870,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887868,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887860,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887848,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887818,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46887792,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887785,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887781,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46887750,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887723,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887702,1770232581,2026-02-04T19:16:21+00:00,4,1,2,0,0
46887669,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887665,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887620,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46887619,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887608,1770232581,2026-02-04T19:16:21+00:00,4,2,2,0,0
46887574,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887564,1770232581,2026-02-04T19:16:21+00:00,46,51,17,0,0
46887547,1770232581,2026-02-04T19:16:21+00:00,4,1,1,0,0
46887532,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887521,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887513,1770232581,2026-02-04T19:16:21+00:00,3,1,2,0,0
46887507,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887502,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887500,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887496,1770232581,2026-02-04T19:16:21+00:00,2,0,1,0,0
46887487,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887486,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46887484,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887481,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887473,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887466,1770232581,2026-02-04T19:16:21+00:00,1,2,1,0,0
46887446,1770232581,2026-02-04T19:16:21+00:00,6,1,3,0,0
46887423,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887420,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887409,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887400,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887382,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887377,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887375,1770232581,2026-02-04T19:16:21+00:00,3,1,1,0,0
46887364,1770232581,2026-02-04T19:16:21+00:00,16,3,1,0,0
46887350,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887332,1770232581,2026-02-04T19:16:21+00:00,2,2,1,0,0
46887328,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887326,1770232581,2026-02-04T19:16:21+00:00,15,2,1,0,0
46887307,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887300,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887271,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46887268,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887257,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887253,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887241,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887239,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46887235,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887221,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46887219,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46887210,1770232581,2026-02-04T19:16:21+00:00,1,2,2,0,0
46887206,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887198,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887197,1770232581,2026-02-04T19:16:21+00:00,4,0,0,0,0
46887192,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887186,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887176,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46887157,1770232581,2026-02-04T19:16:21+00:00,3,0,0,0,0
46887151,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887140,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887111,1770232581,2026-02-04T19:16:21+00:00,2,2,2,0,0
46887103,1770232581,2026-02-04T19:16:21+00:00,2,0,1,0,0
46887095,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887089,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887087,1770232581,2026-02-04T19:16:21+00:00,6,2,1,0,0
46887084,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46887080,1770232581,2026-02-04T19:16:21+00:00,4,1,1,0,0
46887072,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46887065,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46887062,1770232581,2026-02-04T19:16:21+00:00,4,1,1,0,0
46887060,1770232581,2026-02-04T19:16:21+00:00,4,0,1,0,0
46887046,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890418,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890412,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890410,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890401,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890372,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890367,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890365,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890356,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890355,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890352,1770233181,2026-02-04T19:26:21+00:00,1,1,1,0,0
46890336,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890335,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890333,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890325,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890314,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890308,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890307,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890306,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890297,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890294,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890284,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890281,1770233181,2026-02-04T19:26:21+00:00,1,1,1,0,0
46890280,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890261,1770233181,2026-02-04T19:26:21+00:00,2,1,1,0,0
46890244,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890242,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890217,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890208,1770233181,2026-02-04T19:26:21+00:00,1,1,1,0,0
46890198,1770233181,2026-02-04T19:26:21+00:00,2,0,1,0,0
46890174,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890167,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890141,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890117,1770233181,2026-02-04T19:26:21+00:00,2,1,1,0,0
46890110,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890095,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890087,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890084,1770233181,2026-02-04T19:26:21+00:00,1,0,1,0,0
46890080,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890077,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890064,1770233181,2026-02-04T19:26:21+00:00,8,0,0,0,0
46890060,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890057,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46890054,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890047,1770233181,2026-02-04T19:26:21+00:00,2,2,1,0,0
46890034,1770233181,2026-02-04T19:26:21+00:00,2,0,1,0,0
46890027,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46890013,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889985,1770233181,2026-02-04T19:26:21+00:00,2,2,1,0,0
46889978,1770233181,2026-02-04T19:26:21+00:00,11,0,1,0,0
46889961,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889957,1770233181,2026-02-04T19:26:21+00:00,1,3,2,0,0
46889952,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889922,1770233181,2026-02-04T19:26:21+00:00,3,2,2,0,0
46889915,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889913,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889900,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889889,1770233181,2026-02-04T19:26:21+00:00,2,2,2,0,0
46889878,1770233181,2026-02-04T19:26:21+00:00,2,1,1,0,0
46889865,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889838,1770233181,2026-02-04T19:26:21+00:00,1,2,1,0,0
46889831,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889818,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889812,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889795,1770233181,2026-02-04T19:26:21+00:00,3,1,1,0,0
46889787,1770233181,2026-02-04T19:26:21+00:00,2,0,1,0,0
46889783,1770233181,2026-02-04T19:26:21+00:00,5,1,2,0,0
46889763,1770233181,2026-02-04T19:26:21+00:00,3,0,0,0,0
46889741,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889730,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889728,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889723,1770233181,2026-02-04T19:26:21+00:00,1,0,1,0,0
46889716,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889714,1770233181,2026-02-04T19:26:21+00:00,5,4,2,0,0
46889710,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889703,1770233181,2026-02-04T19:26:21+00:00,3,1,1,0,0
46889687,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889678,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889663,1770233181,2026-02-04T19:26:21+00:00,3,0,0,0,0
46889661,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889658,1770233181,2026-02-04T19:26:21+00:00,1,1,2,0,0
46889655,1770233181,2026-02-04T19:26:21+00:00,6,0,0,0,0
46889643,1770233181,2026-02-04T19:26:21+00:00,2,0,0,0,0
46889639,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889636,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
46889621,1770233181,2026-02-04T19:26:21+00:00,1,0,0,0,0
